"Time","simulation_observations.last { name: T_ext }","simulation_observations.last { name: Tair_z1 }","simulation_observations.last { name: Tair_z2 }","simulation_observations.last { name: Tair_z3 }","simulation_observations.last { name: Tair_z4 }"
2024-12-31 13:00:00,,,,,
2025-01-01 01:00:00,,,,,
2025-01-01 13:00:00,,,,,
2025-01-02 01:00:00,,,,,
2025-01-02 13:00:00,,,,,
2025-01-03 01:00:00,,,,,
2025-01-03 13:00:00,,,,,
2025-01-04 01:00:00,0.767,18.3,16.8,18.3,18.0
2025-01-04 13:00:00,1.82,17.6,16.4,17.9,17.6
2025-01-05 01:00:00,4.60,20,20,20,20
2025-01-05 13:00:00,6.78,18.0,17.1,18.4,18.1
2025-01-06 01:00:00,8.02,20,20,20,20
2025-01-06 13:00:00,7.03,18.0,17.3,18.5,18.3
2025-01-07 01:00:00,6.03,20.5,18.3,18.5,19.0
2025-01-07 13:00:00,4.52,18.0,17.1,18.3,18.1
2025-01-08 01:00:00,5.87,18.1,17.3,18.5,18.2
2025-01-08 13:00:00,7.60,18.1,17.4,18.4,18.2
2025-01-09 01:00:00,7.15,18.2,17.5,18.5,18.3
2025-01-09 13:00:00,8.47,18.1,17.5,18.5,18.3
2025-01-10 01:00:00,10.7,18.4,17.9,18.6,18.5
2025-01-10 13:00:00,10.4,18.3,17.8,18.6,18.5
2025-01-11 01:00:00,10.6,19.1,18.3,18.7,18.8
2025-01-11 13:00:00,8.45,18.2,17.7,18.6,18.4
2025-01-12 01:00:00,9.58,21.5,20,20,20.0
2025-01-12 13:00:00,9.17,18.8,18.1,19.0,18.8
2025-01-13 01:00:00,10.9,20,20,20,20
2025-01-13 13:00:00,10.7,18.8,18.3,19.1,18.9
2025-01-14 01:00:00,9.55,18.9,18.4,19.0,18.9
2025-01-14 13:00:00,9.60,18.5,18.1,18.9,18.7
2025-01-15 01:00:00,12.6,19.0,18.6,19.0,19.0
2025-01-15 13:00:00,11.9,18.8,18.4,19.1,18.9
2025-01-16 01:00:00,10.4,18.7,18.3,19.0,18.8
2025-01-16 13:00:00,9.75,18.7,18.1,19.0,18.8
2025-01-17 01:00:00,12.1,21.7,19.5,19.1,19.9
2025-01-17 13:00:00,9.70,19.6,18.3,19.3,19.2
2025-01-18 01:00:00,3.60,19.0,17.9,19.1,18.8
2025-01-18 13:00:00,0.0833,18.3,17.1,18.5,18.2
2025-01-19 01:00:00,0.167,20,20,20,20
2025-01-19 13:00:00,1.52,18.2,17.1,18.5,18.2
2025-01-20 01:00:00,1.07,20.0,20,20,20
2025-01-20 13:00:00,1.43,17.9,17.0,18.4,18.1
2025-01-21 01:00:00,1.80,18.5,17.5,18.6,18.3
2025-01-21 13:00:00,0.350,17.5,16.6,18.1,17.7
2025-01-22 01:00:00,-0.200,20.0,17.9,18.3,18.7
2025-01-22 13:00:00,-1.85,17.6,16.4,18.0,17.7
2025-01-23 01:00:00,5.85,22.7,18.9,18.5,19.8
2025-01-23 13:00:00,6.52,19.5,17.4,18.8,18.7
2025-01-24 01:00:00,7.48,22.5,18.8,18.9,19.8
2025-01-24 13:00:00,7.52,20.0,17.7,19.1,19.0
2025-01-25 01:00:00,8.75,20.0,17.9,19.1,19.1
2025-01-25 13:00:00,8.10,19.3,17.7,18.9,18.7
2025-01-26 01:00:00,12.0,21.6,20,20,20.0
2025-01-26 13:00:00,12.1,20.3,18.6,19.5,19.5
2025-01-27 01:00:00,9.18,20.2,20,20,20
2025-01-27 13:00:00,7.33,19.2,18.0,19.1,18.9
2025-01-28 01:00:00,7.63,19.5,18.3,19.2,19.0
2025-01-28 13:00:00,5.85,18.7,17.7,18.8,18.6
2025-01-29 01:00:00,2.50,19.3,18.1,18.8,18.8
2025-01-29 13:00:00,1.32,18.0,17.1,18.4,18.1
2025-01-30 01:00:00,4.65,18.4,17.5,18.7,18.4
2025-01-30 13:00:00,8.40,18.7,17.7,18.8,18.5
2025-01-31 01:00:00,8.28,19.1,18.2,18.8,18.8
2025-01-31 13:00:00,8.02,18.5,17.7,18.7,18.5
2025-02-01 01:00:00,10.6,19.3,18.4,18.9,18.9
2025-02-01 13:00:00,10.1,18.7,18.1,18.9,18.7
2025-02-02 01:00:00,8.30,20,20,20,20
2025-02-02 13:00:00,7.43,18.4,17.8,18.8,18.6
2025-02-03 01:00:00,8.77,20,20,20,20
2025-02-03 13:00:00,8.60,18.4,18.0,18.9,18.7
2025-02-04 01:00:00,7.80,18.4,18.0,18.9,18.6
2025-02-04 13:00:00,7.10,18.0,17.6,18.6,18.3
2025-02-05 01:00:00,5.18,18.1,17.7,18.7,18.3
2025-02-05 13:00:00,4.45,18.0,17.3,18.5,18.2
2025-02-06 01:00:00,6.72,22.1,19.3,18.7,19.8
2025-02-06 13:00:00,3.87,18.4,17.4,18.6,18.4
2025-02-07 01:00:00,3.17,21.6,18.9,18.8,19.6
2025-02-07 13:00:00,1.17,19.0,17.1,18.7,18.5
2025-02-08 01:00:00,2.65,22.7,19.0,18.9,19.9
2025-02-08 13:00:00,1.45,19.4,17.1,18.8,18.6
2025-02-09 01:00:00,0.117,22.8,20,20,20.2
2025-02-09 13:00:00,-1.13,19.6,17.0,18.8,18.6
2025-02-10 01:00:00,0.833,20,20,20,20
2025-02-10 13:00:00,3.38,18.9,17.2,18.7,18.5
2025-02-11 01:00:00,4.85,19.3,17.6,18.9,18.7
